name,town_village,parish,lon,lat,status,classification,id
St. John's Church (Old),Leith Hall,St. Thomas,-76.3246,17.8919,Ruin,Church,st-john-s-church-old-st-thomas
St. Paul's,Danvers Pen,St. Thomas,-76.42,17.92,Active,Chapel / Church,st-paul-s-st-thomas
St. Stephen's,Thornton,St. Thomas,-76.37,18.03,Active,Chapel / Church,st-stephen-s-st-thomas
St. Thomas Parish Church,Morant Bay,St. Thomas,-76.41,17.88,Active,Parish Church,st-thomas-parish-church-st-thomas
St. Thomas',Bath,St. Thomas,-76.35,17.99,Active,Chapel / Church,st-thomas-st-thomas
St. Thomas' (Parish Church),Morant Bay,St. Thomas,-76.41,17.89,Active,Parish Church (Church),st-thomas-parish-church-st-thomas-2
Woburn Lawn,Woburn Lawn,St. Thomas,-76.33,17.91,Unknown,Church,woburn-lawn-st-thomas
Yallahs,Yallahs,St. Thomas,-76.56,17.88,Unknown,Church,yallahs-st-thomas
St. Andrew's,Albert Town,Trelawny,-77.61,18.27,Active,Chapel / Church,st-andrew-s-trelawny
St. Barnabas',Warsop,Trelawny,-77.58,18.25,Active,Chapel / Church,st-barnabas-trelawny
St. Mark's,Rio Bueno,Trelawny,-77.42,18.47,Active,Chapel / Church,st-mark-s-trelawny
St. Michael's,Clarks Town,Trelawny,-77.52,18.32,Active,Chapel / Church,st-michael-s-trelawny
St. Peter's (Parish Church),Falmouth,Trelawny,-77.67,18.49,Active,Parish Church (Church),st-peter-s-parish-church-trelawny
St. Thomas',Stewart Town,Trelawny,-77.48,18.41,Active,Chapel / Church,st-thomas-trelawny
Holy Trinity,Grange Hill,Westmoreland,-78.18074,18.3137,Active,Church,holy-trinity-westmoreland
St. Barnabas',George's Plain,Westmoreland,-78.14349,18.28319,Active,Chapel / Church,st-barnabas-westmoreland
St. George's,Savanna-la-Mar (Parish Church),Westmoreland,-78.14,18.22,Active,Parish Church (Church),st-george-s-westmoreland
St. James',New Roads (Westmoreland),Westmoreland,-77.96,18.19,Active,Chapel / Church,st-james-westmoreland
St. John's,Darliston,Westmoreland,-77.97,18.26,Active,Chapel / Church,st-john-s-westmoreland
St. Mary's,Negril,Westmoreland,-78.35,18.26,Active,Chapel / Church,st-mary-s-westmoreland
St. Matthias',Kentucky,Westmoreland,-78.02,18.24,Active,Chapel / Church,st-matthias-westmoreland
St. Michael's,Kew Park,Westmoreland,-78.04,18.27,Active,Chapel / Church,st-michael-s-westmoreland
St. Paul's,Little London,Westmoreland,-78.25584,18.26234,Active,Chapel / Church,st-paul-s-westmoreland
St. Peter's,Petersfield,Westmoreland,-78.07,18.29,Active,Chapel / Church,st-peter-s-westmoreland
St. Thomas',Bluefields,Westmoreland,-78.01972,18.17144,Active,Chapel / Church,st-thomas-westmoreland
Transfiguration,Mount Grace,Westmoreland,-78.13,18.32,Active,Chapel / Church,transfiguration-westmoreland
